
68	SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR	Kerala	ALAPPUZHA	Private-Self Financing	APJ Abdul Kalam Technological University, Kerala	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2025	180
69	SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR	Kerala	ALAPPUZHA	Private-Self Financing	APJ Abdul Kalam Technological University, Kerala	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
70	SREE BUDDHA COLLEGE OF ENGINEERING PATTOOR	Kerala	ALAPPUZHA	Private-Self Financing	APJ Abdul Kalam Technological University, Kerala	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2025	60
71	GOVT TOOL ROOM AND TRAINING CENTRE - BELGAUM	Karnataka	BELGAUM	Government	None	ENGINEERING AND TECHNOLOGY	DIPLOMA	PRECISION MANUFACTURING	30-06-2025	30
72	DMI COLLEGE OF ENGINEERING	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2025	120
73	DMI COLLEGE OF ENGINEERING	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
74	DMI COLLEGE OF ENGINEERING	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2025	60
75	SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE	Andhra Pradesh	KRISHNA	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2025	60
76	SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE	Andhra Pradesh	KRISHNA	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2025	240
77	SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE	Andhra Pradesh	KRISHNA	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2024	360
78	SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE	Andhra Pradesh	KRISHNA	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	INFORMATION TECHNOLOGY	30-06-2025	240
79	SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE	Andhra Pradesh	KRISHNA	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2024	60
80	SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE	Andhra Pradesh	KRISHNA	Private-Self Financing	Jawaharlal Nehru Technological University, Kakinada	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2025	120
81	PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	MECHANICAL ENGINEERING	30-06-2024	60
82	PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2024	60
83	PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER ENGINEERING	30-06-2024	360
84	PIMPRI CHINCHWAD EDUCATION TRUST S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH	Maharashtra	PUNE	Private-Self Financing	University of Pune, Pune	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS AND TELECOMMUNICATION ENGINEERING	30-06-2024	60
85	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	AERONAUTICAL ENGINEERING	30-06-2025	60
86	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	AUTOMOBILE ENGINEERING	30-06-2025	30
87	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	BIOMEDICAL ENGINEERING	30-06-2025	120
88	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	BIOTECHNOLOGY	30-06-2025	180
89	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	CIVIL ENGINEERING	30-06-2025	60
90	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	COMPUTER SCIENCE AND ENGINEERING	30-06-2025	540
91	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRONICS & COMMUNICATION ENGG	30-06-2025	360
92	RAJALAKSHMI ENGINEERING COLLEGE ENGINEERING TECHNOLOGY	Tamil Nadu	KANCHIPURAM	Private-Self Financing	Anna University, Chennai	ENGINEERING AND TECHNOLOGY	UNDER GRADUATE	ELECTRICAL AND ELECTRONICS ENGINEERING	30-06-2025	120
